unique_id,metric,Naive,SeasonalNaive,AutoETS,AutoARIMA,AutoNBEATS,AutoNHITS,XGBRegressor,TimeGPT
hotel_14,rmse,0.16111016614545393,0.17553537192307203,0.15998125679202124,0.16369905310369592,0.14707825203758543,0.17039406020150316,0.19849461177473104,0.15750108305003854
hotel_21,rmse,0.07150113480481907,0.09108698429889439,0.06947969775151613,0.06382116441929292,0.06796839018045947,0.06321263921007507,0.07136220090442436,0.07410652061173077
hotel_28,rmse,0.008377614590652173,0.008377614590652173,0.008377614590652173,0.03550793965560622,0.011761412928896209,0.008431848955987985,0.01958307656614471,0.023803995323734575
hotel_35,rmse,0.14586417760157924,0.14487896430392638,0.1458627444548329,0.1453481977261961,0.14289330667399366,0.15548443471266332,0.17154452992050745,0.13355307337365518
hotel_42,rmse,0.31182400245213315,0.3331407391395898,0.2830162441524393,0.22570014785726056,0.2549955481068043,0.2523095691925252,0.22474444752764092,0.2582786947954163
hotel_49,rmse,0.08985116845208943,0.09356642734981498,0.08392415640662303,0.0700517891047433,0.10024044344534086,0.08487297148658,0.10424413772612061,0.06226338922957523
hotel_56,rmse,0.12555536269814943,0.1393120083670238,0.11059698887583412,0.10155553307611619,0.10379806639611822,0.09446153033421524,0.08308634475346377,0.09856280806948223
hotel_63,rmse,0.2353912053876022,0.20228745948829155,0.16837323471345017,0.16124095660304516,0.1351126942291709,0.15568989941984346,0.11627013549514378,0.16348690568910026
hotel_7,rmse,0.20061205164800802,0.1482723180465032,0.20054254445361744,0.13729903401687885,0.1735780317888149,0.11612012957666508,0.11310522692136486,0.11868628093502455
hotel_70,rmse,0.13466077736810544,0.17068518593410592,0.30706272937865525,0.1679564288088055,0.1802598203215773,0.12121401892286321,0.15404756458540297,0.1538086992955974
hotel_84,rmse,0.15674468754410506,0.15888720439633866,0.138118943972672,0.1303851502822248,0.12797910595995066,0.12838653602926398,0.09414180946988532,0.12486191460857657
hotel_91,rmse,0.12339709646490565,0.1280761299082814,0.1138386234963036,0.09858074463568982,0.1745393046065057,0.12565874252190568,0.15222943167065545,0.09892094643582466
hotel_98,rmse,0.21707337786335135,0.19574732263708758,0.21707102792510252,0.16330912719509727,0.1535732962586573,0.16787219569405065,0.1758338956422785,0.15430841985078703
hotel_0,mae,0.18691415849885792,0.18802729349177438,0.1961023959911148,0.14666552563785445,0.15506654340555928,0.12274473060203465,0.12358656110863536,0.14000859684725475
hotel_105,mae,0.05828804147703002,0.048408525179326284,0.04627151590152127,0.05740695080282202,0.08342803689119185,0.07243211518053984,0.11759555642735253,0.05740895814056677
hotel_112,mae,0.13453673887587822,0.12611168032786885,0.11385752071016104,0.09364234061613647,0.09843043888341067,0.11196790974787861,0.08447278219168303,0.10904599680327869
hotel_126,mae,0.02021889024697462,0.030152924601360355,0.021869393665643517,0.025742087601706192,0.03984562162549821,0.022818532854459592,0.06872604818687784,0.024785502356396427
hotel_133,mae,0.055862479364226204,0.06346796176143127,0.0566039537069424,0.07676343650265,0.05164161837091372,0.06326801589412936,0.058750378095486264,0.07687594757555571
hotel_14,mae,0.1338208651849233,0.1425423092218638,0.13286419413450656,0.13570662946710307,0.12431980673284476,0.14564700501912797,0.16842810147306986,0.1308059104446335
hotel_21,mae,0.0444265547749154,0.0626610070257611,0.042174814338264754,0.04093267415575209,0.050249341832339284,0.0394466168454043,0.058503506939009346,0.05561178338975625
hotel_28,mae,0.000668423106947697,0.000668423106947697,0.000668423106947697,0.03229564232641771,0.0064992715336617945,0.0021776358992120163,0.015893080166965806,0.02173314105273224
hotel_35,mae,0.11701711614461359,0.11474495023419204,0.11701676931679549,0.11320760119116245,0.11545048564742265,0.13346761178565528,0.15682616482992642,0.10937706150878221
hotel_42,mae,0.24344783775327344,0.270187922517517,0.2258954982607127,0.18142800494433947,0.1955180992466562,0.19128428547030205,0.16925344633008776,0.19494039069853225
hotel_49,mae,0.07485043412454111,0.07777118722068255,0.06948535748465888,0.05695089928592525,0.07749803032173141,0.06968936345100638,0.0872409363342146,0.04868915461570519
hotel_56,mae,0.10226971116315377,0.10626463700234191,0.09078058572413934,0.0809982022412148,0.08416748301579001,0.06880446787879951,0.06322915418365799,0.07961929472326307
hotel_63,mae,0.19409679937548788,0.15847098620869113,0.14312870783897816,0.136234567672608,0.10755886139673955,0.12686893201387706,0.09722907891722976,0.14149870522300287
hotel_7,mae,0.16892244963345515,0.12021031512941589,0.16888033296328708,0.11063512758180948,0.14364561156790098,0.09343591575903046,0.09150379523313788,0.09583788903026952
hotel_70,mae,0.11468938740293358,0.15229364394593042,0.2655587619775759,0.1498240513517049,0.1657389704830324,0.10148445317340547,0.13732083388215646,0.13902355207504416
hotel_84,mae,0.12317812370849977,0.1308481155239338,0.1144362591495685,0.10927509742498244,0.10904136157128663,0.10776024748938251,0.07874583097589744,0.1019420935434025
hotel_91,mae,0.08111596452911614,0.08266189511354367,0.07136811237899883,0.06453905424941599,0.13637854796362417,0.09278946906211355,0.13454940634588064,0.06439912705402205
hotel_98,mae,0.15960753947269019,0.14226882979527083,0.15960588954647748,0.1417649174060398,0.13087198752224619,0.1547735181910588,0.16579814542510174,0.12766493482286015
